Region,Ail
Kyiv,704
Kyiv,1270
Kyiv,1519
Kyiv,1198
Kyiv,1472
Kyiv,1203
Vinnytska,205
Vinnytska,237
Vinnytska,369
Vinnytska,488
Vinnytska,256
Vinnytska,378
Volynska,212
Volynska,397
Volynska,379
Volynska,493
Volynska,434
Volynska,573
Dnipropetrovska,133
Dnipropetrovska,183
Dnipropetrovska,358
Dnipropetrovska,471
Dnipropetrovska,742
Dnipropetrovska,566
Donetska,290
Donetska,689
Donetska,723
Donetska,574
Donetska,724
Donetska,571
Zhytomyrsk?,296
Zhytomyrsk?,129
Zhytomyrsk?,187
Zhytomyrsk?,640
Zhytomyrsk?,336
Zhytomyrsk?,
Zakarpatska,60
Zakarpatska,292
Zakarpatska,329
Zakarpatska,503
Zakarpatska,404
Zakarpatska,329
Zaporizka,221
Zaporizka,503
Zaporizka,530
Zaporizka,570
Zaporizka,547
Zaporizka,513
Ivano-Frankivska,81
Ivano-Frankivska,84
Ivano-Frankivska,166
Ivano-Frankivska,529
Ivano-Frankivska,328
Ivano-Frankivska,252
Kyivska,202
Kyivska,575
Kyivska,489
Kyivska,484
Kyivska,576
Kyivska,567
Kirovohradska,117
Kirovohradska,151
Kirovohradska,137
Kirovohradska,139
Kirovohradska,153
Kirovohradska,162
Luhanska,9
Luhanska,187
Luhanska,147
Luhanska,146
Luhanska,121
Luhanska,115
Lvivska,214
Lvivska,350
Lvivska,413
Lvivska,745
Lvivska,575
Lvivska,581
Mykolaivska,203
Mykolaivska,347
Mykolaivska,305
Mykolaivska,359
Mykolaivska,336
Mykolaivska,323
Odeska,178
Odeska,368
Odeska,284
Odeska,1232
Odeska,647
Odeska,697
Poltavska,218
Poltavska,716
Poltavska,705
Poltavska,537
Poltavska,712
Poltavska,597
Rivnenska,96
Rivnenska,372
Rivnenska,397
Rivnenska,346
Rivnenska,331
Rivnenska,323
Sumska,99
Sumska,151
Sumska,274
Sumska,288
Sumska,341
Sumska,309
Ternopilska,123
Ternopilska,142
Ternopilska,184
Ternopilska,306
Ternopilska,235
Ternopilska,172
Kharkivska,214
Kharkivska,292
Kharkivska,309
Kharkivska,566
Kharkivska,424
Kharkivska,328
Khersonska,20
Khersonska,33
Khersonska,201
Khersonska,137
Khersonska,134
Khersonska,94
Khmelnytska,80
Khmelnytska,253
Khmelnytska,390
Khmelnytska,538
Khmelnytska,390
Khmelnytska,274
Cherkaska,278
Cherkaska,624
Cherkaska,376
Cherkaska,496
Cherkaska,622
Cherkaska,597
Chernivetska,100
Chernivetska,135
Chernivetska,122
Chernivetska,155
Chernivetska,117
Chernivetska,115
Chernihivska,125
Chernihivska,175
Chernihivska,78
Chernihivska,436
Chernihivska,300
Chernihivska,280
